Number,Name,Parent (SMC),Parent name (SMC),Section,Region,Area,Island,Topo Section,County,Classification,Map 1:50k,Map 1:25k,Metres,Feet,Grid ref,Grid ref 10,Drop,Col grid ref,Col height,Feature,Observations,Survey,Climbed,Country,County Top,Revision,Comments,Streetmap/MountainViews,Google Maps,Hill-bagging,Xcoord,Ycoord,Latitude,Longitude,GridrefXY,_Section,Parent (Ma),Parent name (Ma),MVNumber,Ma,Ma=,Hu,Hu=,Tu,Sim,5,M,MT,F,C,G,D,DT,Hew,N,Dew,DDew,HF,4,3,2,1,0,W,WO,B,E,HHB,Sy,Fel,CoH,CoH=,CoU,CoU=,CoA,CoA=,CoL,CoL=,SIB,sMa,sHu,sSim,s5,s4,Mur,CT,GT,BL,Bg,Y,Cm,T100,xMT,xC,xG,xN,xDT,Dil,VL,A,Ca,Bin,O,Un,canonical_id,source_dataset,source_version,source_url,source_file_name,source_file_size_bytes,source_sha256,source_csv_sha256,source_downloaded_at_utc,source_licence,source_attribution,country_normalized,latitude_normalized,longitude_normalized,elevation_m_normalized,prominence_m_normalized,summit_verification_status,gpt_review_status,gpt_flags,claude_review_status,claude_flags,discrepancy_status,import_status,qa_status,qa_flags
1972,Y Garn,,,30B,30B: Snowdonia,The Glyders,,WN03 Glyder-tryfan,Gwynedd,"Ma,F,Sim,Hew,N,HHB",115,017W,946,3104,SH630595,SH 63092 59571,234,SH 6350 5849,712,cairn/shelter,,Abney level,,W,,11-Dec-25,Added to Trail 100 list Jan 2020,"https://www.streetmap.co.uk/map?X=263089&Y=359568&SV=263089,359568&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.115682,-4.047078",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1972,263089,359568,53.115682,-4.047078,SH6308959568,30.2,1972,,,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1972,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,53.115682,-4.047078,946,234,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
1973,Foel-fras,,,30B,30B: Snowdonia,The Carneddau,,WN04 Llewelyn-elen,"Conwy, Gwynedd","F,Sim,Hew,N,HHB",115,017E,944.1,3097,SH696681,SH 69616 68124,62.8,SH 6880 6651,881.3,2m high rock spike 70m SW of trig point,rock spike is higher than top of trig point and about 50cm higher than block of rock 30m SW of trig point,Abney level/Leica RX1250,,W,,13-Dec-17,,"https://www.streetmap.co.uk/map?X=269613&Y=368121&SV=269613,368121&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.194157,-3.953149",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1973,269613,368121,53.194157,-3.953149,SH6961368121,30.2,1965,Carnedd Llewelyn,,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1973,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,53.194157,-3.953149,944.1,62.8,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
1977,Tryfan,,,30B,30B: Snowdonia,The Glyders,,WN03 Glyder-tryfan,Conwy,"Ma,F,Sim,Hew,N,HHB",115,017W,917.5,3010,SH664593,SH 66408 59390,192,SH661588,726,Adam,,Leica 530,,W,,23-Oct-23,,"https://www.streetmap.co.uk/map?X=266405&Y=359387&SV=266405,359387&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.114898,-3.997491",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1977,266405,359387,53.114898,-3.997491,SH6640559387,30.2,1977,,,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1977,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,53.114898,-3.997491,917.5,192,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
1984,Carnedd y Filiast,,,30B,30B: Snowdonia,The Glyders,,WN03 Glyder-tryfan,Gwynedd,"Sim,Hew,N",115,017W,821,2694,SH620627,SH 62041 62739,76,SH619615,745,small cairn,cairn is probably higher than windshelter 35m N at SH 62045 62775,,,W,,28-Oct-01,,"https://www.streetmap.co.uk/map?X=262038&Y=362736&SV=262038,362736&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.143870,-4.064135",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1984,262038,362736,53.14387,-4.064135,SH6203862736,30.2,1975,Elidir Fawr,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1984,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,53.14387,-4.064135,821,76,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
2000,Moel Eilio,,,30B,30B: Snowdonia,Snowdon,,WN02 Snowdon-eilio,Gwynedd,"Ma,Sim,Hew,N",115,017W 254,726.2,2383,SH556577,SH 55608 57709,259.2,SH 5723 5587,467,no feature: 30m E of windshelter,ground 30m NE at SH 55632 57726 is of similar height; ground by windshelter is 0.3m lower,,,W,,11-Dec-25,,"https://www.streetmap.co.uk/map?X=255605&Y=357706&SV=255605,357706&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.096981,-4.157979",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2000,255605,357706,53.096981,-4.157979,SH5560557706,30.2,2000,,,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2000,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,53.096981,-4.157979,726.2,259.2,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
2007,Mynydd Mawr,,,30B,30B: Snowdonia,Moel Hebog,,WN01 Hebog-anelog,Gwynedd,"Ma,Sim,Hew,N",115,017W 254,697.5,2288,SH539546,SH 53975 54695,462.5,SH 5614 5357,235,cairn SE of windshelter,,,,W,,11-Dec-25,col surveyed,"https://www.streetmap.co.uk/map?X=253972&Y=354692&SV=253972,354692&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.069463,-4.180979",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2007,253972,354692,53.069463,-4.180979,SH5397254692,30.2,2007,,,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2007,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,53.069463,-4.180979,697.5,462.5,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
2026,Y Garn,,,30B,30B: Snowdonia,Moel Hebog,,WN01 Hebog-anelog,Gwynedd,"N,sSim",115,017W 254,634.4,2081,SH551526,SH 55152 52649,22,SH 5503 5224,612.4,cairn,,obvious summit,,W,,11-Dec-25,,"https://www.streetmap.co.uk/map?X=255149&Y=352646&SV=255149,352646&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.051405,-4.162504",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2026,255149,352646,53.051405,-4.162504,SH5514952646,30.2,2004,Trum y Ddysgl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2026,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,53.051405,-4.162504,634.4,22,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
2027,Foel Gron,,,30B,30B: Snowdonia,Snowdon,,WN02 Snowdon-eilio,Gwynedd,"Sim,Hew,N",115,017W 254,629,2064,SH560568,SH 56047 56851,30.7,SH 5589 5708,598.3,eastmost grassy knoll near fence corner,grassy knoll 40m WNW at SH 56007 56860 is lower,Abney level/Leica RX1250,,W,,13-Dec-17,summit measured as 629.0m,"https://www.streetmap.co.uk/map?X=256044&Y=356848&SV=256044,356848&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.089393,-4.151043",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2027,256044,356848,53.089393,-4.151043,SH5604456848,30.2,2000,Moel Eilio,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2027,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,53.089393,-4.151043,629,30.7,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
2028,Pen y Castell,,,30B,30B: Snowdonia,The Carneddau,,WN04 Llewelyn-elen,Conwy,"N,sSim",115,017E,623.5,2046,SH721688,SH 72190 68883,29,SH 71943 69030,594.5,boulder,boulder is 0.46m higher than outcrop 60m SW at SH 72222 68925 and 2.43m higher than rock tor 230m ESE at SH 72437 68877,Leica NA730/Leica RX1250,,W,,13-Dec-17,The Nuttalls give the summit as the rock tor at SH724688. Drop 29.0m by line survey.,"https://www.streetmap.co.uk/map?X=272187&Y=368880&SV=272187,368880&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.201601,-3.914947",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2028,272187,368880,53.201601,-3.914947,SH7218768880,30.2,1965,Carnedd Llewelyn,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2028,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,53.201601,-3.914947,623.5,29,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
2035,Foel Goch,,,30B,30B: Snowdonia,Snowdon,,WN02 Snowdon-eilio,Gwynedd,"Sim,Dew,sHu",115,017W,604.5,1983,SH571563,SH 57103 56344,92.1,SH 5661 5635,512.4,small cairn,,Leica RX1250,,W,,13-Dec-17,,"https://www.streetmap.co.uk/map?X=257100&Y=356341&SV=257100,356341&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.085122,-4.13506",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2035,257100,356341,53.085122,-4.13506,SH5710056341,30.2,2000,Moel Eilio,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2035,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,53.085122,-4.13506,604.5,92.1,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
