Number,Name,Parent (SMC),Parent name (SMC),Section,Region,Area,Island,Topo Section,County,Classification,Map 1:50k,Map 1:25k,Metres,Feet,Grid ref,Grid ref 10,Drop,Col grid ref,Col height,Feature,Observations,Survey,Climbed,Country,County Top,Revision,Comments,Streetmap/MountainViews,Google Maps,Hill-bagging,Xcoord,Ycoord,Latitude,Longitude,GridrefXY,_Section,Parent (Ma),Parent name (Ma),MVNumber,Ma,Ma=,Hu,Hu=,Tu,Sim,5,M,MT,F,C,G,D,DT,Hew,N,Dew,DDew,HF,4,3,2,1,0,W,WO,B,E,HHB,Sy,Fel,CoH,CoH=,CoU,CoU=,CoA,CoA=,CoL,CoL=,SIB,sMa,sHu,sSim,s5,s4,Mur,CT,GT,BL,Bg,Y,Cm,T100,xMT,xC,xG,xN,xDT,Dil,VL,A,Ca,Bin,O,Un,summit_ready_canonical_id,country_normalized,latitude_normalized,longitude_normalized,elevation_m_normalized,prominence_m_normalized,col_height_m_normalized,source_dataset,source_version,source_release_date,source_file_sha256,source_license,source_attribution,source_trust,final_verification_status,needs_review_reason,qa_status,qa_flags,data_priority,ai_fallback_allowed
7816,Alderney Airport NE perimeter,,,57,57: Channel Islands,,Channel Islands (incl. Alderney),YC01 Jersey-guernsey,Bailiwick of Guernsey,"0,SIB,sHu",,,90,295,WA569065,,90,Sea,0,,,,,C,,03-Oct-15,Small 90m contour on States of Guernsey Official Map. See Database Notes.,https://www.geograph.org.gg/gridref/WA5690006500,"https://www.google.com/maps/search/?api=1&query=49.708319,-2.210811",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=7816,556900,5506500,49.708319,-2.210811,WA5690006500,57,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:7816,Channel Islands,49.70831900,-2.21081100,90,90,0,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
7817,Les Platons (Jersey),,,57,57: Channel Islands,,Channel Islands (incl. Alderney),YC01 Jersey-guernsey,Bailiwick of Jersey,"Hu,1,SIB",,,136,446,WV651554,WV 65125 55420,136,Sea,0,outcrop in gorse,,,,C,,27-Jan-17,"Sources giving 143m at WV658548 are incorrect, see Database Notes. Map suggests a genuine alternative summit at WV659548.",https://www.geograph.org.gg/gridref/WV6512555420,"https://www.google.com/maps/search/?api=1&query=49.247907,-2.105504",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=7817,565100,5455400,49.247907,-2.105504,WV6512555420,57,0,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:7817,Channel Islands,49.24790700,-2.10550400,136,136,0,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
7818,Guernsey Airport,,,57,57: Channel Islands,,Channel Islands (incl. Alderney),YC01 Jersey-guernsey,Bailiwick of Guernsey,"Hu,1,SIB",,,107,351,WV291754,WV 29170 75435,107,Sea,0,4m landscaped bank N side of main road,terminal building sited on natural high point,,,C,,06-Aug-17,"1986 1:25k MoD map has 107m spot at V293755. The States of Guernsey Official Map suggests that only a small area of land, at WV310760, is above the 105m contour",https://www.geograph.org.gg/gridref/WV2917075435,"https://www.google.com/maps/search/?api=1&query=49.430887,-2.597707",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=7818,529170,5475435,49.430887,-2.597707,WV2917075435,57,0,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:7818,Channel Islands,49.43088700,-2.59770700,107,107,0,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
7819,Le Moulin (Sark),,,57,57: Channel Islands,,Channel Islands (incl. Alderney),YC01 Jersey-guernsey,Bailiwick of Guernsey,"Hu,1,SIB",,,109,358,WV462755,WV 46229 75587,109,Sea,0,no feature,ground at W base of old windmill,,,C,,03-Oct-15,Spot height of 356ft on 1989 1:10k MoD map.,https://www.geograph.org.gg/gridref/WV4622975587,"https://www.google.com/maps/search/?api=1&query=49.431196,-2.362436",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=7819,546229,5475587,49.431196,-2.362436,WV4622975587,57,0,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:7819,Channel Islands,49.43119600,-2.36243600,109,109,0,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
18954,Fort Albert,,,57,57: Channel Islands,,Channel Islands (incl. Alderney),YC01 Jersey-guernsey,Bailiwick of Guernsey,0,,,55,180,WA588085,,32,WA589081,23,,,,,C,,03-Oct-15,,https://www.geograph.org.gg/gridref/WA5880008500,"https://www.google.com/maps/search/?api=1&query=49.726333,-2.184000",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=18954,558810,5508520,49.726333,-2.184,WA5880008500,57,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:18954,Channel Islands,49.72633300,-2.18400000,55,32,23,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
18955,Herm,,,57,57: Channel Islands,,Channel Islands (incl. Alderney),YC01 Jersey-guernsey,Bailiwick of Guernsey,"0,SIB",,,66,217,WV400796,WV 40037 79635,66,Sea,0,pile of large boulders E of track in pinewood,,,,C,,06-Aug-17,,https://www.geograph.org.gg/gridref/WV4003779635,"https://www.google.com/maps/search/?api=1&query=49.468045,-2.447419",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=18955,540037,5479635,49.468045,-2.447419,WV4003779635,57,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:18955,Channel Islands,49.46804500,-2.44741900,66,66,0,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
18956,Jethou,,,57,57: Channel Islands,,Channel Islands (incl. Alderney),YC01 Jersey-guernsey,Bailiwick of Guernsey,"0,SIB",,,67,220,WV390786,,67,Sea,0,,,,,C,,03-Oct-15,,https://www.geograph.org.gg/gridref/WV3900078600,"https://www.google.com/maps/search/?api=1&query=49.459500,-2.461333",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=18956,539030,5478670,49.4595,-2.461333,WV3900078600,57,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:18956,Channel Islands,49.45950000,-2.46133300,67,67,0,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
18957,Crevichon,,,57,57: Channel Islands,,Channel Islands (incl. Alderney),YC01 Jersey-guernsey,Bailiwick of Guernsey,"0,SIB",,,36,118,WV387790,,36,Sea,0,,,,,C,,03-Oct-15,,https://www.geograph.org.gg/gridref/WV3870079000,"https://www.google.com/maps/search/?api=1&query=49.462833,-2.465000",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=18957,538760,5479040,49.462833,-2.465,WV3870079000,57,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:18957,Channel Islands,49.46283300,-2.46500000,36,36,0,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
18958,Grand Fauconniere,,,57,57: Channel Islands,,Channel Islands (incl. Alderney),YC01 Jersey-guernsey,Bailiwick of Guernsey,"0,SIB",,,36,118,WV391782,,36,Sea,0,,,,,C,,03-Oct-15,,https://www.geograph.org.gg/gridref/WV3910078200,"https://www.google.com/maps/search/?api=1&query=49.456000,-2.459333",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=18958,539180,5478290,49.456,-2.459333,WV3910078200,57,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:18958,Channel Islands,49.45600000,-2.45933300,36,36,0,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
18959,Brecqhou,,,57,57: Channel Islands,,Channel Islands (incl. Alderney),YC01 Jersey-guernsey,Bailiwick of Guernsey,"0,SIB",,,70,230,WV446756,,70,Sea,0,,,,,C,,03-Jun-24,,https://www.geograph.org.gg/gridref/WV4460075600,"https://www.google.com/maps/search/?api=1&query=49.435060,-2.384795",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=18959,544600,5475600,49.43506,-2.384795,WV4460075600,57,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:18959,Channel Islands,49.43506000,-2.38479500,70,70,0,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
