Number,Name,Parent (SMC),Parent name (SMC),Section,Region,Area,Island,Topo Section,County,Classification,Map 1:50k,Map 1:25k,Metres,Feet,Grid ref,Grid ref 10,Drop,Col grid ref,Col height,Feature,Observations,Survey,Climbed,Country,County Top,Revision,Comments,Streetmap/MountainViews,Google Maps,Hill-bagging,Xcoord,Ycoord,Latitude,Longitude,GridrefXY,_Section,Parent (Ma),Parent name (Ma),MVNumber,Ma,Ma=,Hu,Hu=,Tu,Sim,5,M,MT,F,C,G,D,DT,Hew,N,Dew,DDew,HF,4,3,2,1,0,W,WO,B,E,HHB,Sy,Fel,CoH,CoH=,CoU,CoU=,CoA,CoA=,CoL,CoL=,SIB,sMa,sHu,sSim,s5,s4,Mur,CT,GT,BL,Bg,Y,Cm,T100,xMT,xC,xG,xN,xDT,Dil,VL,A,Ca,Bin,O,Un,summit_ready_canonical_id,country_normalized,latitude_normalized,longitude_normalized,elevation_m_normalized,prominence_m_normalized,col_height_m_normalized,source_dataset,source_version,source_release_date,source_file_sha256,source_license,source_attribution,source_trust,final_verification_status,needs_review_reason,qa_status,qa_flags,data_priority,ai_fallback_allowed
1963,Snowdon - Yr Wyddfa,,,30B,30B: Snowdonia,Snowdon,,WN02 Snowdon-eilio,Gwynedd,"Ma,F,Sim,Hew,N,HHB,CoH,CoA,CoU",115,017W,1085,3560,SH609543,SH 60989 54379,1039,NS758782,46,trig point/view indicator,,,,W,"Gwynedd, Caernarfonshire [Sir Gaernarfon], Gwynedd (1974-1996), Caernarfonshire [Sir Gaernarfon] (1889-1974)",07-Mar-17,,"https://www.streetmap.co.uk/map?X=260986&Y=354376&SV=260986,354376&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.068496,-4.076231",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1963,260986,354376,53.068496,-4.076231,SH6098654376,30.2,1963,,,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1963,Wales,53.06849600,-4.07623100,1085,1039,46,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
1965,Carnedd Llewelyn,,,30B,30B: Snowdonia,The Carneddau,,WN04 Llewelyn-elen,"Conwy, Gwynedd","Ma,F,Sim,Hew,N,HHB,CoU",115,017E 017W,1061.8,3484,SH683643,SH 68364 64375,747.5,SH 6752 6049,314.3,cairn,shelter 25m SSW of cairn (SH 68376 64350) is 0.4m lower; ground at SH 68292 64474 and tors at SH 68233 64495 and SH 68192 64466 are 1.3 and 1.7m lower respectively,Abney level,,W,Conwy,10-Dec-25,,"https://www.streetmap.co.uk/map?X=268361&Y=364372&SV=268361,364372&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.160168,-3.970333",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1965,268361,364372,53.160168,-3.970333,SH6836164372,30.2,1965,,,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1965,Wales,53.16016800,-3.97033300,1061.8,747.5,314.3,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,INFO: DoBIH v18.5 retains 1061.8 m after a 10-Dec-2025 revision; older external sources may still show 1064 m. Retain DoBIH value.,info,known_wales_recent_revision_info,1,true
1977,Tryfan,,,30B,30B: Snowdonia,The Glyders,,WN03 Glyder-tryfan,Conwy,"Ma,F,Sim,Hew,N,HHB",115,017W,917.5,3010,SH664593,SH 66408 59390,192,SH661588,726,Adam,,Leica 530,,W,,23-Oct-23,,"https://www.streetmap.co.uk/map?X=266405&Y=359387&SV=266405,359387&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.114898,-3.997491",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1977,266405,359387,53.114898,-3.997491,SH6640559387,30.2,1977,,,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1977,Wales,53.11489800,-3.99749100,917.5,192,726,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,info,duplicate_name_in_country_info,1,true
2226,Pen y Fan,,,32A,32A: Llandovery to Monmouth,Brecon Beacons,,WS03 Penyfan-mynyddmaen,Powys,"Ma,Sim,Hew,N,HHB,CoH,CoA,CoU",160,012E,886,2907,SO012215,SO 01210 21588,672,SH 9315 0000,214.3,large cairn,,,,W,"Powys, Brecknockshire [Sir Frycheiniog], Powys (1974-1996), Brecknockshire [Sir Frycheiniog] (1889-1974)",21-Mar-21,,"https://www.streetmap.co.uk/map?X=301208&Y=221583&SV=301208,221583&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=51.884031,-3.436765",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2226,301208,221583,51.884031,-3.436765,SO0120821583,32.1,2226,,,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2226,Wales,51.88403100,-3.43676500,886,672,214.3,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,info,duplicate_name_in_country_info,1,true
2359,Scafell Pike,,,34B,34B: Lake District C&W,Lake District - Southern Fells,,EL03 Scafell-illgill,Cumberland,"Ma,F,Sim,Hew,N,HHB,W,B,Sy,Fel,CoH,CoA,CoU",89 90,006N,978.07,3209,NY215072,NY 21541 07216,912.2,SJ 6368 3387,65.9,rock by trig point,,Leica NA730/Leica GS15/Leica RX1250,,E,"Cumberland, Cumberland, Cumbria (1974-1996), Cumberland (1889-1974)",09-Jul-22,,"https://www.streetmap.co.uk/map?X=321540&Y=507217&SV=321540,507217&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=54.454263,-3.211682",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2359,321540,507217,54.454263,-3.211682,NY2154007217,34.2,2359,,,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2359,England,54.45426300,-3.21168200,978.07,912.2,65.9,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
2515,Helvellyn,,,34C,34C: Lake District E,Lake District - Eastern Fells,,EL05 Helvellyn-mell,"Cumberland, Westmorland and Furness","Ma,F,Sim,Hew,N,W,B,HHB,Sy,Fel,CoH,CoA,CoU",90,005S,949.8,3116,NY342151,NY 34246 15110,713.4,NY 3270 1172,236.4,cairn near stone shelter,trig point is slightly lower,,,E,"Westmorland and Furness, Westmorland, Westmorland (1889-1974)",11-Jul-23,,"https://www.streetmap.co.uk/map?X=334245&Y=515111&SV=334245,515111&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=54.527001,-3.017514",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2515,334245,515111,54.527001,-3.017514,NY3424515111,34.3,2515,,,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2515,England,54.52700100,-3.01751400,949.8,713.4,236.4,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
2807,Kinder Scout,,,36,"36: Lancashire, Cheshire and S Pennines",The Peak District,,EP07 Kinder-shining,Derbyshire,"Ma,Sim,Hew,N,E,CoH,CoA,CoU",110,001W,636.3,2088,SK084875,SK 08484 87560,496.6,SD 89482 48616,139.6,grassy prominence on peat mound,cairn 35m SW (SK 08462 87538) 69cm lower; cairn 200m E (SK 08678 87549) 47cm lower; cairn 475m ENE (SK 08953 87619) about 75cm lower; ground 340m WSW (SK 08180 87395) 30cm lower,Leica NA730/Leica 530,,E,"Derbyshire, Derbyshire, Derbyshire (1974-1996), Derbyshire (1889-1974)",25-Apr-11,,"https://www.streetmap.co.uk/map?X=408484&Y=387557&SV=408484,387557&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.384808,-1.873910",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2807,408484,387557,53.384808,-1.87391,SK0848487557,36,2807,,,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2807,England,53.38480800,-1.87391000,636.3,496.6,139.6,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
5251,Pen y Fan,,,31C,31C: South-West Wales,,,WM06 Cwmcerwyn-brandy,Pembrokeshire [Sir Benfro],"Hu,1",145 157,0035E,142,466,SN005411,SN 00559 41160,136,SN013399,6,ground within 2m of trig point,,obvious summit,,W,,25-Jan-24,,"https://www.streetmap.co.uk/map?X=200556&Y=241155&SV=200556,241155&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.032855,-4.908995",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=5251,200556,241155,52.032855,-4.908995,SN0055641155,31.3,2215,Mynydd Carningli,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:5251,Wales,52.03285500,-4.90899500,142,136,6,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,info,duplicate_name_in_country_info,1,true
15584,Grassholm Island,,,31C,31C: South-West Wales,,Mono Tump island,IW02 Ramsey-caldey,Pembrokeshire [Sir Benfro],"0,SIB",157,0036W,42,138,SM598093,,42,Sea,0,,,,,W,,05-Dec-12,,"https://www.streetmap.co.uk/map?X=159800&Y=209300&SV=159800,209300&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=51.730270,-5.478880",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=15584,159800,209300,51.73027,-5.47888,SM5980009300,31.3,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:15584,Wales,51.73027000,-5.47888000,42,42,0,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,needs_review,Wales QA: source latitude/longitude is ~91 m from its own OS grid-reference-derived position; preserve source values pending targeted review.,review,known_wales_coordinate_review,1,true
2360,Scafell,,,34B,34B: Lake District C&W,Lake District - Southern Fells,,EL03 Scafell-illgill,Cumberland,"Hu,F,Sim,Hew,N,HHB,W,B,Sy,Fel",89 90,006N,963.9,3162,NY206064,NY 20682 06478,132.2,NY 2102 0690,831.6,cairn on rock N of windshelter,,Abney level/Leica RX1250,,E,,13-Dec-17,Formerly on Marilyn list,"https://www.streetmap.co.uk/map?X=320681&Y=506479&SV=320681,506479&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=54.447498,-3.224731",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2360,320681,506479,54.447498,-3.224731,NY2068106479,34.2,2359,Scafell Pike,,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2360,England,54.44749800,-3.22473100,963.9,132.2,831.6,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
