Number,Name,Parent (SMC),Parent name (SMC),Section,Region,Area,Island,Topo Section,County,Classification,Map 1:50k,Map 1:25k,Metres,Feet,Grid ref,Grid ref 10,Drop,Col grid ref,Col height,Feature,Observations,Survey,Climbed,Country,County Top,Revision,Comments,Streetmap/MountainViews,Google Maps,Hill-bagging,Xcoord,Ycoord,Latitude,Longitude,GridrefXY,_Section,Parent (Ma),Parent name (Ma),MVNumber,Ma,Ma=,Hu,Hu=,Tu,Sim,5,M,MT,F,C,G,D,DT,Hew,N,Dew,DDew,HF,4,3,2,1,0,W,WO,B,E,HHB,Sy,Fel,CoH,CoH=,CoU,CoU=,CoA,CoA=,CoL,CoL=,SIB,sMa,sHu,sSim,s5,s4,Mur,CT,GT,BL,Bg,Y,Cm,T100,xMT,xC,xG,xN,xDT,Dil,VL,A,Ca,Bin,O,Un,summit_ready_canonical_id,country_normalized,latitude_normalized,longitude_normalized,elevation_m_normalized,prominence_m_normalized,col_height_m_normalized,source_dataset,source_version,source_release_date,source_file_sha256,source_license,source_attribution,source_trust,final_verification_status,needs_review_reason,qa_status,qa_flags,data_priority,ai_fallback_allowed
1846,Cairn Hill West Top [Hangingstone Hill],2302,The Cheviot,28B,28B: The River Tweed to the English Border,The Cheviots,,SE01 Cheviot-hownam,"Northumberland, Scottish Borders","DT,CoH,CoA,xN",80,016E,743,2438,NT895193,NT 89572 19300,5,NT897194,738,no feature: heather,,Abney level,,ES,"Roxburghshire, Roxburghshire (1890-1975)",08-Jun-09,,"https://www.streetmap.co.uk/map?X=389573&Y=619304&SV=389573,619304&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=55.467455,-2.166486",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1846,389573,619304,55.467455,-2.166486,NT8957319304,28.2,2302,The Cheviot,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,dobih:1846,England/Scotland,55.46745500,-2.16648600,743,5,738,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
2305,Auchope Cairn,2302,The Cheviot,33,33: Northumberland,The Cheviots,,SE01 Cheviot-hownam,"Northumberland, Scottish Borders","xN,xDT",80,016E,726.1,2382,NT890198,NT 89086 19833,10.6,NT 8929 1962,715.5,cairn adjacent to South currick,,Abney level,,ES,,19-Dec-22,,"https://www.streetmap.co.uk/map?X=389087&Y=619837&SV=389087,619837&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=55.472234,-2.174195",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2305,389087,619837,55.472234,-2.174195,NT8908719837,33,2302,The Cheviot,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,dobih:2305,England/Scotland,55.47223400,-2.17419500,726.1,10.6,715.5,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
2308,Windy Gyle,,,33,33: Northumberland,The Cheviots,,SE01 Cheviot-hownam,"Northumberland, Scottish Borders","Hu,Sim,Hew,N,D",80,016E,619,2031,NT855152,NT 85538 15210,113,NT878168,506,trig point,trig point on Russell's cairn; ground 50m SE nearly as high,Abney level,,ES,,20-Jul-11,,"https://www.streetmap.co.uk/map?X=385539&Y=615213&SV=385539,615213&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=55.4306,-2.230078",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2308,385539,615213,55.4306,-2.230078,NT8553915213,33,2302,The Cheviot,,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2308,England/Scotland,55.43060000,-2.23007800,619,113,506,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
2312,The Schil,,,33,33: Northumberland,The Cheviots,,SE01 Cheviot-hownam,"Northumberland, Scottish Borders","Hu,Sim,Dew,DDew",74,016E,605.5,1987,NT869223,NT 86905 22329,136.2,NT 8712 2115,469.3,small cairn on large outcrop,,obvious summit,,ES,,11-Dec-22,,"https://www.streetmap.co.uk/map?X=386906&Y=622333&SV=386906,622333&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=55.494608,-2.208814",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2312,386906,622333,55.494608,-2.208814,NT8690622333,33,2302,The Cheviot,,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2312,England/Scotland,55.49460800,-2.20881400,605.5,136.2,469.3,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
3541,Carter Fell,,,33,33: Northumberland,The Cheviots,,SE02 Peel-rubers,"Northumberland, Scottish Borders","Hu,5,Dew,DDew",80,016W,579,1900,NT682052,NT 68244 05240,102,NT647028,477,no feature: ground 12m E of trig point,trig point is at NT 68230 05240,Abney level,,ES,,23-Oct-23,,"https://www.streetmap.co.uk/map?X=368244&Y=605243&SV=368244,605243&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=55.340197,-2.502217",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=3541,368244,605243,55.340197,-2.502217,NT6824405243,33,2311,Peel Fell,,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:3541,England/Scotland,55.34019700,-2.50221700,579,102,477,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
3545,Beefstand Hill,,,28B,28B: The River Tweed to the English Border,The Cheviots,,SE01 Cheviot-hownam,Scottish Borders,"5,Dew,DDew",80,016E,562,1844,NT821143,NT 82110 14369,70,NT838153,492,no feature: ground 7m W of fence corner,summit is 1m N of fence at nearest point,Abney level,,ES,,15-Mar-19,Summit is in Scotland,"https://www.streetmap.co.uk/map?X=382111&Y=614372&SV=382111,614372&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=55.422930,-2.284193",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=3545,382111,614372,55.42293,-2.284193,NT8211114372,28.2,2302,The Cheviot,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:3545,England/Scotland,55.42293000,-2.28419300,562,70,492,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
3559,Birnie Brae,,,33,33: Northumberland,The Cheviots,,SE01 Cheviot-hownam,"Northumberland, Scottish Borders","5,Dew,DDew",74,016E,508,1667,NT871206,NT 87164 20684,31,NT879200,477,no feature: grass and heather,flat summit area,Abney level,,ES,,10-Mar-07,,"https://www.streetmap.co.uk/map?X=387165&Y=620688&SV=387165,620688&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=55.479833,-2.204638",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=3559,387165,620688,55.479833,-2.204638,NT8716520688,33,2302,The Cheviot,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:3559,England/Scotland,55.47983300,-2.20463800,508,31,477,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
3560,Brownhart Law,,,33,33: Northumberland,The Cheviots,,SE01 Cheviot-hownam,"Northumberland, Scottish Borders","5,Dew,DDew",80,016W,508,1667,NT787093,NT 78797 09380,65,NT776079,443,no feature: ground 10m N of fence,,Abney level,,ES,,23-Oct-23,,"https://www.streetmap.co.uk/map?X=378797&Y=609383&SV=378797,609383&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=55.377968,-2.336154",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=3560,378797,609383,55.377968,-2.336154,NT7879709383,33,2302,The Cheviot,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:3560,England/Scotland,55.37796800,-2.33615400,508,65,443,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
3561,Hungry Law,,,33,33: Northumberland,The Cheviots,,SE01 Cheviot-hownam,"Northumberland, Scottish Borders","5,Dew,DDew",80,016W,501,1644,NT747061,NT 74719 06140,74,NT768070,427,trig point,,Abney level,,ES,,24-Dec-10,,"https://www.streetmap.co.uk/map?X=374719&Y=606143&SV=374719,606143&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=55.348661,-2.400214",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=3561,374719,606143,55.348661,-2.400214,NT7471906143,33,2302,The Cheviot,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:3561,England/Scotland,55.34866100,-2.40021400,501,74,427,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
7677,Windy Rig,,,33,33: Northumberland,The Cheviots,,SE01 Cheviot-hownam,"Northumberland, Scottish Borders",s5,80,016E,561,1841,NT845153,NT 84506 15377,22,NT849153,539,no feature: ground 1m S of fence,ground 180m E at NT 84686 15412 is just lower,Abney level,,ES,,12-Dec-12,,"https://www.streetmap.co.uk/map?X=384507&Y=615380&SV=384507,615380&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=55.432069,-2.246395",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=7677,384507,615380,55.432069,-2.246395,NT8450715380,33,2302,The Cheviot,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:7677,England/Scotland,55.43206900,-2.24639500,561,22,539,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
