Number,Name,Parent (SMC),Parent name (SMC),Section,Region,Area,Island,Topo Section,County,Classification,Map 1:50k,Map 1:25k,Metres,Feet,Grid ref,Grid ref 10,Drop,Col grid ref,Col height,Feature,Observations,Survey,Climbed,Country,County Top,Revision,Comments,Streetmap/MountainViews,Google Maps,Hill-bagging,Xcoord,Ycoord,Latitude,Longitude,GridrefXY,_Section,Parent (Ma),Parent name (Ma),MVNumber,Ma,Ma=,Hu,Hu=,Tu,Sim,5,M,MT,F,C,G,D,DT,Hew,N,Dew,DDew,HF,4,3,2,1,0,W,WO,B,E,HHB,Sy,Fel,CoH,CoH=,CoU,CoU=,CoA,CoA=,CoL,CoL=,SIB,sMa,sHu,sSim,s5,s4,Mur,CT,GT,BL,Bg,Y,Cm,T100,xMT,xC,xG,xN,xDT,Dil,VL,A,Ca,Bin,O,Un,summit_ready_canonical_id,country_normalized,latitude_normalized,longitude_normalized,elevation_m_normalized,prominence_m_normalized,col_height_m_normalized,source_dataset,source_version,source_release_date,source_file_sha256,source_license,source_attribution,source_trust,final_verification_status,needs_review_reason,qa_status,qa_flags,data_priority,ai_fallback_allowed
1945,Snaefell,,,29,29: Isle of Man,,Isle of Man,XM01 Isle of Man,Isle of Man,"Ma,Sim,SIB",95,IoM 0,621,2037,SC397880,SC 39775 88088,621,Sea,0,rock within 1m of trig point,summit lies between two masts,obvious summit,,M,,03-Jun-24,,"https://www.streetmap.co.uk/map?X=239771&Y=488088&SV=239771,488088&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=54.263297,-4.461603",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1945,239771,488088,54.263297,-4.461603,SC3977188088,29,1945,,,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1945,Isle of Man,54.26329700,-4.46160300,621,621,0,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
1946,North Barrule,,,29,29: Isle of Man,,Isle of Man,XM01 Isle of Man,Isle of Man,"Hu,5,Dew",95,IoM 0,565,1854,SC442909,SC 44280 90925,143,SC406886,422,rock 3m WSW of trig point,,Abney level,,M,,12-May-25,Submarilyn status removed in May 2025 following redefinition by list author,"https://www.streetmap.co.uk/map?X=244277&Y=490925&SV=244277,490925&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=54.290164,-4.393978",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1946,244277,490925,54.290164,-4.393978,SC4427790925,29,1945,Snaefell,,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1946,Isle of Man,54.29016400,-4.39397800,565,143,422,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
1947,Slieau Freoaghane,,,29,29: Isle of Man,,Isle of Man,XM01 Isle of Man,Isle of Man,"Ma,4",95,IoM 0,488,1601,SC340883,SC 34085 88361,153,SC343866,335,mound with white quartz cairn and pole,summit is situated 4m W of trig point,Abney level,,M,,28-Oct-01,,"https://www.streetmap.co.uk/map?X=234081&Y=488361&SV=234081,488361&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=54.263934,-4.549025",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1947,234081,488361,54.263934,-4.549025,SC3408188361,29,1947,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1947,Isle of Man,54.26393400,-4.54902500,488,153,335,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
1948,South Barrule,,,29,29: Isle of Man,,Isle of Man,XM01 Isle of Man,Isle of Man,"Ma,4",95,IoM 0,483,1585,SC257759,SC 25773 75920,436,SC298807,47,trig point,,obvious summit,,M,,28-Oct-01,,"https://www.streetmap.co.uk/map?X=225769&Y=475920&SV=225769,475920&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=54.149478,-4.669286",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1948,225769,475920,54.149478,-4.669286,SC2576975920,29,1948,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1948,Isle of Man,54.14947800,-4.66928600,483,436,47,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
1949,Bradda Hill,,,29,29: Isle of Man,,Isle of Man,XM01 Isle of Man,Isle of Man,"Ma,2",95,IoM 0,233,764,SC194711,SC 19424 71142,196,SC201710,37,cairn,,obvious summit,,M,,03-Jul-09,,"https://www.streetmap.co.uk/map?X=219420&Y=471141&SV=219420,471141&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=54.104392,-4.763522",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1949,219420,471141,54.104392,-4.763522,SC1942071141,29,1949,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1949,Isle of Man,54.10439200,-4.76352200,233,196,37,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
1950,Mull Hill,,,29,29: Isle of Man,,Isle of Man,XM01 Isle of Man,Isle of Man,"Ma,1",95,IoM 0,169,554,SC189676,SC 18989 67678,151,SC206684,18,outcrop on WSW side of pill box,no natural ground in summit area,,,M,,28-Oct-01,,"https://www.streetmap.co.uk/map?X=218985&Y=467677&SV=218985,467677&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=54.073142,-4.768094",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1950,218985,467677,54.073142,-4.768094,SC1898567677,29,1950,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1950,Isle of Man,54.07314200,-4.76809400,169,151,18,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
3337,Clagh Ouyr,,,29,29: Isle of Man,,Isle of Man,XM01 Isle of Man,Isle of Man,"5,Dew",95,IoM 0,551,1808,SC414889,SC 41449 88942,78,SC419896,473,small cairn on rock,cairn 230m SW at SC 41278 88780 is several metres lower,obvious summit,,M,,10-Mar-07,,"https://www.streetmap.co.uk/map?X=241445&Y=488942&SV=241445,488942&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=54.271488,-4.436379",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=3337,241445,488942,54.271488,-4.436379,SC4144588942,29,1945,Snaefell,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:3337,Isle of Man,54.27148800,-4.43637900,551,78,473,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
3338,Beinn Rein [Clagh Ouyr North Top],,,29,29: Isle of Man,,Isle of Man,XM01 Isle of Man,Isle of Man,"5,Dew",95,IoM 0,550,1804,SC425900,SC 42559 90019,52,SC437907,498,no feature: grass,,obvious summit,,M,,10-Mar-07,,"https://www.streetmap.co.uk/map?X=242555&Y=490019&SV=242555,490019&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=54.281501,-4.419916",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=3338,242555,490019,54.281501,-4.419916,SC4255590019,29,1945,Snaefell,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:3338,Isle of Man,54.28150100,-4.41991600,550,52,498,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
3339,Beinn-y-Phott,,,29,29: Isle of Man,,Isle of Man,XM01 Isle of Man,Isle of Man,"Hu,5,Dew",95,IoM 0,544,1785,SC381860,SC 38109 86024,135,SC396867,409,cairn,,obvious summit,,M,,20-Nov-09,,"https://www.streetmap.co.uk/map?X=238105&Y=486024&SV=238105,486024&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=54.24424,-4.486041",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=3339,238105,486024,54.24424,-4.486041,SC3810586024,29,1945,Snaefell,,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:3339,Isle of Man,54.24424000,-4.48604100,544,135,409,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
3340,Carraghan,,,29,29: Isle of Man,,Isle of Man,XM01 Isle of Man,Isle of Man,"5,Dew",95,IoM 0,500,1640,SC368849,SC 36871 84907,54,SC371856,446,cairn,,obvious summit,,M,,07-Sep-13,Harvey mapping shows a summit height of 495m. Col height from Harvey,"https://www.streetmap.co.uk/map?X=236867&Y=484907&SV=236867,484907&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=54.233818,-4.504413",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=3340,236867,484907,54.233818,-4.504413,SC3686784907,29,1945,Snaefell,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:3340,Isle of Man,54.23381800,-4.50441300,500,54,446,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
5140,Colden,,,29,29: Isle of Man,,Isle of Man,XM01 Isle of Man,Isle of Man,"Hu,4",95,IoM 0,487,1598,SC342843,SC 34286 84318,122,SC342853,365,no feature,cairn 60m E at SC 34338 84324 is circa 50cm lower,Abney level,,M,,23-Nov-22,,"https://www.streetmap.co.uk/map?X=234282&Y=484318&SV=234282,484318&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=54.227699,-4.543706",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=5140,234282,484318,54.227699,-4.543706,SC3428284318,29,1945,Snaefell,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:5140,Isle of Man,54.22769900,-4.54370600,487,122,365,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
5141,Cronk ny Arrey Laa,,,29,29: Isle of Man,,Isle of Man,XM01 Isle of Man,Isle of Man,"Hu,4",95,IoM 0,439,1440,SC224746,SC 22446 74670,126,SC247757,313,cairn 60m W of trig point,trig point is c 1m lower,obvious summit,,M,,28-Mar-10,,"https://www.streetmap.co.uk/map?X=222442&Y=474670&SV=222442,474670&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=54.137117,-4.71943",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=5141,222442,474670,54.137117,-4.71943,SC2244274670,29,1948,South Barrule,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:5141,Isle of Man,54.13711700,-4.71943000,439,126,313,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,info,duplicate_name_in_country_info,1,true
