Number,Name,Parent (SMC),Parent name (SMC),Section,Region,Area,Island,Topo Section,County,Classification,Map 1:50k,Map 1:25k,Metres,Feet,Grid ref,Grid ref 10,Drop,Col grid ref,Col height,Feature,Observations,Survey,Climbed,Country,County Top,Revision,Comments,Streetmap/MountainViews,Google Maps,Hill-bagging,Xcoord,Ycoord,Latitude,Longitude,GridrefXY,_Section,Parent (Ma),Parent name (Ma),MVNumber,Ma,Ma=,Hu,Hu=,Tu,Sim,5,M,MT,F,C,G,D,DT,Hew,N,Dew,DDew,HF,4,3,2,1,0,W,WO,B,E,HHB,Sy,Fel,CoH,CoH=,CoU,CoU=,CoA,CoA=,CoL,CoL=,SIB,sMa,sHu,sSim,s5,s4,Mur,CT,GT,BL,Bg,Y,Cm,T100,xMT,xC,xG,xN,xDT,Dil,VL,A,Ca,Bin,O,Un,summit_ready_canonical_id,country_normalized,latitude_normalized,longitude_normalized,elevation_m_normalized,prominence_m_normalized,col_height_m_normalized,source_dataset,source_version,source_release_date,source_file_sha256,source_license,source_attribution,source_trust,final_verification_status,needs_review_reason,qa_status,qa_flags,data_priority,ai_fallback_allowed
1951,Yr Eifl,,,30A,30A: Anglesey and the Lleyn Peninsula,,,WN01 Hebog-anelog,Gwynedd,"Ma,5,Dew",123,253 254,560.7,1840,SH364447,SH 36495 44747,429,SH453485,131,trig point with metal sign '4 (with small H&A)' screwed on,,Leica NA730/Leica GS15/Trimble GeoXH 6000,,W,,05-Jan-20,Added to Trail 100 list Jan 2020,"https://www.streetmap.co.uk/map?X=236491&Y=344744&SV=236491,344744&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.975053,-4.436593",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1951,236491,344744,52.975053,-4.436593,SH3649144744,30.1,1951,,,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1951,Wales,52.97505300,-4.43659300,560.7,429,131,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
1952,Gyrn Ddu,,,30A,30A: Anglesey and the Lleyn Peninsula,,,WN01 Hebog-anelog,Gwynedd,"Ma,5,Dew",115 123,254,522.1,1713,SH401467,SH 40118 46788,386,SH387445,136,cairn,,obvious summit/Trimble GeoXH 6000,,W,,24-Apr-15,,"https://www.streetmap.co.uk/map?X=240115&Y=346785&SV=240115,346785&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.994478,-4.383695",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1952,240115,346785,52.994478,-4.383695,SH4011546785,30.1,1952,,,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1952,Wales,52.99447800,-4.38369500,522.1,386,136,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
1953,Bwlch Mawr,,,30A,30A: Anglesey and the Lleyn Peninsula,,,WN01 Hebog-anelog,Gwynedd,"Hu,5,Dew,sMa",115 123,254,510.3,1674,SH426478,SH 42674 47851,147.6,SH 4143 4664,362.7,large boulder 12m ESE of trig point,rock outcrop 135m SSW at SH 42643 47721 is 0.35m lower,Leica NA730/Leica GS15/Trimble GeoXH 6000,,W,,11-Jul-23,,"https://www.streetmap.co.uk/map?X=242671&Y=347848&SV=242671,347848&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.004782,-4.346164",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1953,242671,347848,53.004782,-4.346164,SH4267147848,30.1,1952,Gyrn Ddu,,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1953,Wales,53.00478200,-4.34616400,510.3,147.6,362.7,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
1954,Carn Fadryn,,,30A,30A: Anglesey and the Lleyn Peninsula,,,WN01 Hebog-anelog,Gwynedd,"Ma,3",123,253,371,1217,SH278351,SH 27869 35186,343,SH308384,28,rock 2m SE of trig point,top of rock is 10cm above flush bracket,Abney level,,W,,06-Dec-20,,"https://www.streetmap.co.uk/map?X=227865&Y=335182&SV=227865,335182&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.88649,-4.559852",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1954,227865,335182,52.88649,-4.559852,SH2786535182,30.1,1954,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1954,Wales,52.88649000,-4.55985200,371,343,28,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
1955,Mynydd Rhiw,,,30A,30A: Anglesey and the Lleyn Peninsula,,,WN01 Hebog-anelog,Gwynedd,"Ma,3",123,253,304.9,1000,SH228293,SH 22850 29392,239.5,SH 2363 3475,65.4,rocks 3m S of trig point,top of rock is 5cm above flush bracket,Abney level,,W,,23-Feb-25,,"https://www.streetmap.co.uk/map?X=222846&Y=329388&SV=222846,329388&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.832829,-4.631214",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1955,222846,329388,52.832829,-4.631214,SH2284629388,30.1,1955,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1955,Wales,52.83282900,-4.63121400,304.9,239.5,65.4,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
1956,Garn Boduan,,,30A,30A: Anglesey and the Lleyn Peninsula,,,WN01 Hebog-anelog,Gwynedd,"Ma,2",123,253,280.1,919,SH312393,SH 31211 39352,176.7,SH 3364 4187,103.4,rock 2m from plinth with brass spot height marker,marginally higher than nearby wind shelter,simple level,,W,,23-Feb-25,,"https://www.streetmap.co.uk/map?X=231207&Y=339348&SV=231207,339348&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.924963,-4.512397",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1956,231207,339348,52.924963,-4.512397,SH3120739348,30.1,1956,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1956,Wales,52.92496300,-4.51239700,280.1,176.7,103.4,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
1957,Moel-y-Gest,,,30A,30A: Anglesey and the Lleyn Peninsula,,,WN01 Hebog-anelog,Gwynedd,"Ma,2",124,018W 254,263,863,SH549388,SH 54927 38894,236.9,SH 5384 3964,26.1,boulder 18m S of trig point,boulder is 1.1m higher than ground by trig point (SH 54927 38910); outcrop 30m ESE of summit is 40cm lower,Abney level,,W,,02-Mar-24,,"https://www.streetmap.co.uk/map?X=254924&Y=338891&SV=254924,338891&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.927783,-4.159684",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1957,254924,338891,52.927783,-4.159684,SH5492438891,30.1,1957,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1957,Wales,52.92778300,-4.15968400,263,236.9,26.1,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
1958,Carneddol,,,30A,30A: Anglesey and the Lleyn Peninsula,,,WN01 Hebog-anelog,Gwynedd,"Ma,2",123,253,235.9,774,SH301330,SH 30119 33100,155.9,SH 3008 3501,80,base of W side of wall on grassy knoll,,obvious summit,,W,,21-Mar-21,,"https://www.streetmap.co.uk/map?X=230115&Y=333096&SV=230115,333096&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.868471,-4.525357",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1958,230115,333096,52.868471,-4.525357,SH3011533096,30.1,1958,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1958,Wales,52.86847100,-4.52535700,235.9,155.9,80,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
1959,Holyhead Mountain [Mynydd Twr],,,30A,30A: Anglesey and the Lleyn Peninsula,,Holy Island (Anglesey),IW01 Anglesey-bardsey,Anglesey [Sir Fon],"Ma,2,CoH,CoA,CoU,SIB",114,262,220,722,SH218829,SH 21859 82948,220,Sea,0,trig point on circular plinth,rock by plinth is highest visible point but higher ground may be hidden under plinth,obvious summit,,W,"Anglesey [Sir Fon], Anglesey [Sir Fon], Anglesey [Sir Fon] (1889-1974)",28-Oct-01,,"https://www.streetmap.co.uk/map?X=221855&Y=382945&SV=221855,382945&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.31341,-4.675573",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1959,221855,382945,53.31341,-4.675573,SH2185582945,30.1,1959,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1959,Wales,53.31341000,-4.67557300,220,220,0,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
1960,Mynydd Anelog,,,30A,30A: Anglesey and the Lleyn Peninsula,,,WN01 Hebog-anelog,Gwynedd,"Ma,1",123,253,191.4,628,SH151272,SH 15198 27222,151,SH 1733 2893,40.4,rock 5m E of small cairn,this rock is 2cm higher than base of cairn,Leica NA730/Leica GS15,,W,,17-Jul-13,Promoted to Marilyn status July 2013,"https://www.streetmap.co.uk/map?X=215194&Y=327218&SV=215194,327218&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.810771,-4.743439",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1960,215194,327218,52.810771,-4.743439,SH1519427218,30.1,1960,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1960,Wales,52.81077100,-4.74343900,191.4,151,40.4,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
